outcome,glider
0,Jane
0,Jane
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Jane
1,Ros
1,Ros
0,Ros
0,Ros
1,Ros
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
0,Ros
1,Ros
1,Ros
1,Ros
1,Ros
0,Jane
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
1,Jane
1,Jane
0,Jane
1,Jane
0,Jane
0,Jane
1,Jane
1,Jane
1,Jane
1,Ros
0,Ros
1,Ros
1,Ros
0,Ros
0,Ros
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
0,Jane
0,Jane
1,Jane
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
1,Jane
0,Jane
1,Jane
1,Jane
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
1,Ros
1,Ros
0,Ros
1,Ros
0,Ros
1,Ros
