outcome,glider
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Tesla
1,Tesla
1,Tesla
1,Tesla
0,Tesla
1,Frankie
0,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
0,Frankie
0,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
0,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
0,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
0,Frankie
1,Frankie
1,Frankie
0,Frankie
1,Frankie
1,Frankie
0,Frankie
1,Frankie
1,Frankie
0,Frankie
1,Frankie
1,Frankie
1,Tesla
1,Tesla
0,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
0,Frankie
1,Frankie
1,Frankie
1,Frankie
0,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Frankie
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
1,Tesla
0,Tesla
0,Tesla
1,Tesla
1,Tesla
