Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,,,,,
1,12/27/21,22.5,28,4:00 PM,Frankie,None,IR,N,47.2,,,Total Runs/Glider,,,,
2,12/27/21,22.5,28,4:00 PM,Frankie,None,IR,Y,15.3,,Frankie,45,,,,
3,12/27/21,22.5,28,4:00 PM,Frankie,None,IR,Y,11.5,,Jane,45,,,,
4,12/27/21,22.5,28,4:00 PM,Frankie,IR,None,N,13.5,,Tesla,45,,,,
5,12/27/21,22.5,28,4:00 PM,Frankie,IR,None,N,13.9,,Ros,45,,,,
6,12/27/21,22.5,28,4:00 PM,Frankie,None,IR,N,9.7,,Total,180,,,,
7,12/27/21,22.5,28,4:00 PM,Frankie,IR,None,N,8.9,,,,,,,
8,12/27/21,22.5,28,4:15 PM,Frankie,None,IR,N,14.9,,,,,,,
9,12/27/21,22.5,28,4:15 PM,Frankie,IR,None,Y,19.0,,,,,,,
10,12/27/21,22.5,28,4:15 PM,Frankie,None,IR,N,22.8,,,,,,,
11,12/29/21,22.2,33,3:15 PM,Jane,None,IR,Y,30.2,,,,,,,
12,12/29/21,22.2,33,3:15 PM,Jane,IR,None,N,12.4,,,,,,,
13,12/29/21,22.2,33,3:15 PM,Jane,None,IR,Y,13.2,,,,,,,
14,12/29/21,22.2,33,3:15 PM,Jane,None,IR,N,15.1,,,,,,,
15,12/29/21,22.2,33,3:15 PM,Jane,IR,None,Y,26.2,,,,,,,
16,12/29/21,22.2,33,3:15 PM,Jane,None,IR,Y,14.4,,,,,,,
17,12/29/21,22.2,33,3:30 PM,Jane,IR,None,N,18.1,,,,,,,
18,12/29/21,22.2,33,3:30 PM,Jane,IR,None,Y,15.2,,,,,,,
19,12/29/21,22.2,33,3:30 PM,Jane,None,IR,Y,9.8,,,,,,,
20,12/29/21,22.2,33,3:30 PM,Jane,None,IR,Y,135.5,,,,,,,
21,1/17/22,22.2,21,3:45 PM,Tesla,None,IR,Y,34.1,,,,,,,
22,1/17/22,22.2,21,4:00 PM,Tesla,IR,None,Y,16.9,,,,,,,
23,1/17/22,22.2,21,4:00 PM,Tesla,None,IR,N,12.3,,,,,,,
24,1/17/22,22.2,21,4:00 PM,Tesla,IR,None,Y,10.9,,,,,,,
25,1/17/22,22.2,21,4:00 PM,Tesla,IR,None,Y,8.7,,,,,,,
26,1/17/22,22.2,21,4:00 PM,Tesla,None,IR,N,49.7,,,,,,,
27,1/17/22,22.2,21,4:00 PM,Tesla,None,IR,Y,13.4,,,,,,,
28,1/17/22,22.2,21,4:00 PM,Tesla,IR,None,N,9.4,,,,,,,
29,1/17/22,22.2,21,4:00 PM,Tesla,None,IR,Y,13.0,,,,,,,
30,1/17/22,22.2,21,4:00 PM,Tesla,IR,None,N,11.3,,,,,,,
31,1/17/22,22.2,21,4:15 PM,Ros,IR,None,Y,13.6,,,,,,,
32,1/17/22,22.2,21,4:15 PM,Ros,None,IR,Y,34.6,,,,,,,
33,1/17/22,22.2,21,4:15 PM,Ros,IR,None,N,24.7,,,,,,,
34,1/17/22,22.2,21,4:15 PM,Ros,None,IR,N,28.3,,,,,,,
35,1/17/22,22.2,21,4:15 PM,Ros,None,IR,Y,15.8,,,,,,,
36,1/17/22,22.2,21,4:15 PM,Ros,IR,None,N,29.2,,,,,,,
37,1/17/22,22.2,21,4:15 PM,Ros,IR,None,Y,37.7,,,,,,,
38,1/17/22,22.2,21,4:30 PM,Ros,None,IR,N,10.4,,,,,,,
39,1/17/22,22.2,21,4:30 PM,Ros,None,IR,N,12.7,,,,,,,
40,1/17/22,22.2,21,4:30 PM,Ros,None,IR,Y,38.3,,,,,,,
41,1/28/22,22.5,20,4:15 PM,Tesla,IR,None,Y,6.3,,,,,,,
42,1/28/22,22.5,20,4:15 PM,Tesla,None,IR,N,12.2,,,,,,,
43,1/28/22,22.5,20,4:15 PM,Tesla,IR,None,N,9.7,,,,,,,
44,1/28/22,22.5,20,4:15 PM,Tesla,IR,None,N,13.2,,,,,,,
45,1/28/22,22.5,20,4:15 PM,Tesla,None,IR,N,26.8,,,,,,,
46,1/28/22,22.5,20,4:15 PM,Tesla,IR,None,Y,13.1,,,,,,,
47,1/28/22,22.5,20,4:15 PM,Tesla,IR,None,Y,14.5,,,,,,,
48,1/28/22,22.5,20,4:30 PM,Tesla,IR,None,N,17.3,Arm 2 sensor being weird,,,,,,
49,1/28/22,22.5,20,4:30 PM,Tesla,IR,None,Y,10.0,,,,,,,
50,1/28/22,22.5,20,4:30 PM,Tesla,None,IR,N,12.7,,,,,,,
51,1/28/22,22.5,20,4:30 PM,Tesla,IR,None,Y,10.3,,,,,,,
52,1/28/22,22.5,20,4:30 PM,Tesla,IR,None,Y,16.7,,,,,,,
53,1/28/22,22.5,20,4:30 PM,Tesla,IR,None,N,20.2,,,,,,,
54,1/28/22,22.5,20,4:30 PM,Tesla,None,IR,N,27.5,,,,,,,
55,1/28/22,22.5,20,4:30 PM,Tesla,None,IR,Y,8.8,,,,,,,
56,2/16/22,23.5,20,3:00 PM,Ros,IR,None,N,31.4,,,,,,,
57,2/16/22,23.5,20,3:00 PM,Ros,None,IR,Y,70.3,,,,,,,
58,2/16/22,23.5,20,3:00 PM,Ros,None,IR,N,130.3,,,,,,,
59,2/16/22,23.5,20,3:00 PM,Ros,None,IR,Y,33.5,,,,,,,
60,2/16/22,23.5,20,3:00 PM,Ros,IR,None,N,99.7,,,,,,,
61,2/16/22,23.5,20,3:00 PM,Ros,IR,None,Y,25.8,,,,,,,
62,2/16/22,23.5,20,3:00 PM,Ros,IR,None,Y,69.4,,,,,,,
63,2/16/22,23.5,20,3:15 PM,Ros,None,IR,N,26.5,,,,,,,
64,2/16/22,23.5,20,3:15 PM,Ros,None,IR,Y,33.4,,,,,,,
65,2/16/22,23.5,20,3:15 PM,Ros- NA,IR,None,NA,180.0,3 minute cutoff,,,,,,
66,2/16/22,23.5,20,3:15 PM,Jane,None,IR,Y,22.3,,,,,,,
67,2/16/22,23.5,20,3:15 PM,Jane,None,IR,N,13.2,,,,,,,
68,2/16/22,23.5,20,3:15 PM,Jane,None,IR,Y,11.8,,,,,,,
69,2/16/22,23.5,20,3:30 PM,Jane,None,IR,Y,32.1,,,,,,,
70,2/16/22,23.5,20,3:30 PM,Jane,None,IR,N,48.2,,,,,,,
71,2/16/22,23.5,20,3:30 PM,Jane,IR,None,Y,13.3,,,,,,,
72,2/16/22,23.5,20,3:30 PM,Jane,IR,None,N,49.3,,,,,,,
73,2/16/22,23.5,20,3:30 PM,Jane,None,IR,N,11.9,,,,,,,
74,2/16/22,23.5,20,3:30 PM,Jane- NA,IR,None,NA,180.0,3 minute cutoff,,,,,,
75,2/16/22,23.5,20,3:30 PM,Jane,None,IR,Y,13.8,,,,,,,
76,2/18/22,23.2,25,3:00 PM,Frankie,None,IR,Y,7.8,,,,,,,
77,2/18/22,23.2,25,3:15 PM,Frankie,IR,None,N,12.1,,,,,,,
78,2/18/22,23.2,25,3:15 PM,Frankie,None,IR,N,24.0,,,,,,,
79,2/18/22,23.2,25,3:15 PM,Frankie,IR,None,N,9.7,,,,,,,
80,2/18/22,23.2,25,3:15 PM,Frankie,IR,None,N,9.2,,,,,,,
