Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,
1,2/15/23,24.0,18,3:43 PM,Tesla,None,Red,Y,24.81,,,Total Runs/Glider
2,2/15/23,24.0,18,3:44 PM,Tesla,None,Red,N,5.63,,Frankie,45
3,2/15/23,24.0,18,3:45 PM,Tesla,Red,None,Y,4.95,,Jane,45
4,2/15/23,24.0,18,3:46 PM,Tesla,Red,None,Y,5.60,,Tesla,45
5,2/15/23,24.0,18,3:46 PM,Tesla,Red,None,Y,4.70,,Ros,45
6,2/15/23,24.0,18,3:47 PM,Tesla,None,Red,Y,13.26,,,
7,2/15/23,24.0,18,3:48 PM,Tesla,Red,None,Y,4.50,,,
8,2/15/23,24.0,18,3:48 PM,Tesla,None,Red,Y,5.25,,,
9,2/15/23,24.0,18,3:49 PM,Tesla,Red,None,Y,4.28,,,
10,2/15/23,24.0,18,3:50 PM,Tesla,None,Red,Y,4.73,,,
11,2/15/23,24.0,18,3:51 PM,Tesla,None,Red,N,22.20,,,
12,2/15/23,24.0,18,3:51 PM,Tesla,Red,None,Y,5.57,,,
13,2/15/23,24.0,18,3:52 PM,Tesla,Red,None,Y,7.75,,,
14,2/15/23,24.0,18,3:53 PM,Tesla,None,Red,Y,8.35,,,
15,2/15/23,24.0,18,3:55 PM,Tesla,None,Red,Y,102.36,,,
16,2/15/23,24.0,18,4:08 PM,Jane,None,Red,N,5.75,,,
17,2/15/23,24.0,18,4:09 PM,Jane,Red,None,N,4.28,,,
18,2/15/23,24.0,18,4:09 PM,Jane,Red,None,Y,3.33,,,
19,2/15/23,24.0,18,4:10 PM,Jane,Red,None,Y,4.29,,,
20,2/15/23,24.0,18,4:11 PM,Jane,None,Red,N,5.78,,,
21,2/15/23,24.0,18,4:12 PM,Jane,Red,None,Y,3.23,,,
22,2/15/23,24.0,18,4:13 PM,Jane,None,Red,Y,3.01,,,
23,2/15/23,24.0,18,4:13 PM,Jane,Red,None,N,2.84,,,
24,2/15/23,24.0,18,4:14 PM,Jane,None,Red,Y,4.23,,,
25,2/15/23,24.0,18,4:14 PM,Jane,Red,None,Y,2.81,,,
26,2/15/23,24.0,18,4:15 PM,Jane,Red,None,Y,5.99,,,
27,2/15/23,24.0,18,4:16 PM,Jane,None,Red,Y,2.99,,,
28,2/15/23,24.0,18,4:16 PM,Jane,Red,None,Y,5.61,,,
29,2/15/23,24.0,18,4:17 PM,Jane,None,Red,Y,4.91,,,
30,2/15/23,24.0,18,4:18 PM,Jane,None,Red,Y,3.28,,,
31,2/15/23,24.0,18,4:24 PM,Frankie,Red,None,N,10.92,,,
32,2/15/23,24.0,18,4:24 PM,Frankie,None,Red,N,8.47,,,
33,2/15/23,24.0,18,4:25 PM,Frankie,None,Red,N,9.26,,,
34,2/15/23,24.0,18,4:26 PM,Frankie,None,Red,Y,3.85,,,
35,2/15/23,24.0,18,4:27 PM,Frankie,Red,None,N,4.23,,,
36,2/15/23,24.0,18,4:27 PM,Frankie,None,Red,Y,6.13,,,
37,2/15/23,24.0,18,4:28 PM,Frankie,None,Red,Y,2.76,,,
38,2/15/23,24.0,18,4:29 PM,Frankie,None,Red,Y,6.33,,,
39,2/15/23,24.0,18,4:29 PM,Frankie,Red,None,Y,4.50,,,
40,2/15/23,24.0,18,4:30 PM,Frankie,Red,None,Y,7.87,,,
41,2/15/23,24.0,18,4:31 PM,Frankie,None,Red,N,6.77,,,
42,2/15/23,24.0,18,4:32 PM,Frankie,Red,None,Y,3.82,,,
43,2/15/23,24.0,18,4:33 PM,Frankie,None,Red,N,4.88,,,
44,2/15/23,24.0,18,4:33 PM,Frankie,Red,None,Y,6.99,,,
45,2/15/23,24.0,18,4:34 PM,Frankie,Red,None,Y,6.02,,,
46,2/16/23,24.3,24,3:44 PM,Ros,Red,None,Y,14.21,,,
47,2/16/23,24.3,24,3:46 PM,Ros,Red,None,Y,4.15,,,
48,2/16/23,24.3,24,3:47 PM,Ros,Red,None,N,9.42,,,
49,2/16/23,24.3,24,3:48 PM,Ros,None,Red,N,4.08,,,
50,2/16/23,24.3,24,3:48 PM,Ros,Red,None,Y,3.80,,,
51,2/16/23,24.3,24,3:49 PM,Ros,None,Red,Y,11.00,,,
52,2/16/23,24.3,24,3:50 PM,Ros,Red,None,Y,15.01,,,
53,2/16/23,24.3,24,3:51 PM,Ros,None,Red,Y,19.67,,,
54,2/16/23,24.3,24,3:52 PM,Ros,None,Red,N,12.13,,,
55,2/16/23,24.3,24,3:52 PM,Ros,Red,None,Y,6.45,,,
56,2/16/23,24.3,24,3:53 PM,Ros,Red,None,N,8.79,,,
57,2/16/23,24.3,24,3:54 PM,Ros,None,Red,Y,16.02,,,
58,2/16/23,24.3,24,3:55 PM,Ros,None,Red,Y,33.31,,,
59,2/16/23,24.3,24,3:57 PM,Ros,Red,None,Y,25.37,,,
60,2/16/23,24.3,24,3:57 PM,Ros,Red,None,Y,14.27,,,
61,2/16/23,24.3,24,4:04 PM,Frankie,None,Red,Y,9.08,,,
