Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,
1,7/13/22,23.0,29,2:00 PM,Jane-Train,UV,None,Y,22.1,,,Total Runs/Glider
2,7/13/22,23.0,29,2:15 PM,Jane,UV,None,Y,9.6,,Frankie,45
3,7/13/22,23.0,29,2:15 PM,Jane,UV,None,Y,33.3,,Jane,45
4,7/13/22,23.0,29,2:15 PM,Jane,None,UV,Y,17.6,,Tesla,45
5,7/13/22,23.0,29,2:15 PM,Jane,None,UV,Y,9.9,,Ros,45
6,7/13/22,23.0,29,2:15 PM,Jane,None,UV,Y,9.6,,,
7,7/13/22,23.0,29,2:15 PM,Jane,UV,None,Y,15.1,,,
8,7/13/22,23.0,29,2:15 PM,Jane,UV,None,Y,13.1,,,
9,7/13/22,23.0,29,2:15 PM,Jane,UV,None,Y,11.2,,,
10,7/13/22,23.0,29,2:30 PM,Jane,None,UV,Y,15.7,,,
11,7/13/22,23.0,29,2:30 PM,Jane,UV,None,Y,16.4,,,
12,7/13/22,23.0,29,2:30 PM,Jane,None,UV,Y,9.1,,,
13,7/13/22,23.0,29,2:30 PM,Jane,UV,None,Y,11.9,,,
14,7/13/22,23.0,29,2:30 PM,Jane,None,UV,Y,8.1,,,
15,7/13/22,23.0,29,2:30 PM,Jane,UV,None,Y,17.8,,,
16,7/13/22,23.0,29,2:30 PM,Jane,None,UV,Y,11.4,,,
17,7/13/22,23.0,29,2:45 PM,Frankie,None,UV,Y,16.4,,,
18,7/13/22,23.0,29,2:45 PM,Frankie,None,UV,N,12.2,,,
19,7/13/22,23.0,29,2:45 PM,Frankie,UV,None,Y,7.4,,,
20,7/13/22,23.0,29,2:45 PM,Frankie,None,UV,Y,14.1,,,
21,7/13/22,23.0,29,2:45 PM,Frankie,UV,None,Y,7.1,,,
22,7/13/22,23.0,29,3:00 PM,Frankie,UV,None,Y,5.6,,,
23,7/13/22,23.0,29,3:00 PM,Frankie,UV,None,Y,12.6,,,
24,7/13/22,23.0,29,3:00 PM,Frankie,None,UV,N,22.7,,,
25,7/13/22,23.0,29,3:00 PM,Frankie,UV,None,Y,35.8,,,
26,7/13/22,23.0,29,3:00 PM,Frankie,UV,None,N,18.9,,,
27,7/13/22,23.0,29,3:00 PM,Frankie,UV,None,N,32.7,,,
28,7/13/22,23.0,29,3:00 PM,Frankie,None,UV,N,18.8,,,
29,7/13/22,23.0,29,3:00 PM,Frankie,None,UV,Y,6.1,,,
30,7/13/22,23.0,29,3:00 PM,Frankie,None,UV,N,8.2,,,
31,7/13/22,23.0,29,3:15 PM,Frankie,UV,None,Y,5.9,,,
32,7/13/22,23.0,29,3:15 PM,Ros,None,UV,Y,32.8,,,
33,7/13/22,23.0,29,3:15 PM,Ros,None,UV,N,49.7,,,
34,7/13/22,23.0,29,3:15 PM,Ros,None,UV,Y,38.0,,,
35,7/13/22,23.0,29,3:30 PM,Ros,UV,None,Y,11.6,,,
36,7/13/22,23.0,29,3:30 PM,Ros,UV,None,N,15.4,,,
37,7/13/22,23.0,29,3:30 PM,Ros,None,UV,Y,63.2,,,
38,7/13/22,23.0,29,3:30 PM,Ros,UV,None,Y,27.7,,,
39,7/13/22,23.0,29,3:30 PM,Ros,None,UV,Y,131.8,,,
40,7/13/22,23.0,29,3:45 PM,Ros,UV,None,Y,69.3,,,
41,7/13/22,23.0,29,3:45 PM,Ros,UV,None,Y,122.2,,,
42,7/14/22,23.3,36,2:00 PM,Tesla,None,UV,Y,77.8,,,
43,7/14/22,23.3,36,2:00 PM,Tesla,None,UV,Y,25.4,,,
44,7/14/22,23.3,36,2:15 PM,Tesla,None,UV,Y,16.7,,,
45,7/14/22,23.3,36,2:15 PM,Tesla,UV,None,Y,13.5,,,
46,7/14/22,23.3,36,2:15 PM,Tesla,None,UV,Y,11.4,,,
47,7/14/22,23.3,36,2:15 PM,Tesla,UV,None,N,9.8,,,
48,7/14/22,23.3,36,2:15 PM,Tesla,None,UV,N,14.2,,,
49,7/14/22,23.3,36,2:15 PM,Tesla,None,UV,Y,16.4,,,
50,7/14/22,23.3,36,2:15 PM,Tesla,UV,None,Y,40.0,,,
51,7/14/22,23.3,36,2:15 PM,Tesla,None,UV,N,15.9,,,
52,7/14/22,23.3,36,2:30 PM,Tesla- NA,UV,None,NA,NA,3 minute cutoff,,
53,7/14/22,23.3,36,2:30 PM,Tesla,None,UV,N,32.8,,,
54,7/14/22,23.3,36,2:30 PM,Tesla,None,UV,N,41.3,,,
55,7/14/22,23.3,36,2:30 PM,Tesla,None,UV,Y,8.6,,,
56,7/14/22,23.3,36,2:30 PM,Tesla,UV,None,Y,9.2,,,
57,7/14/22,23.3,36,2:45 PM,Ros,None,UV,N,49.2,,,
58,7/14/22,23.3,36,2:45 PM,Ros,None,UV,Y,8.2,,,
59,7/14/22,23.3,36,2:45 PM,Ros,None,UV,Y,12.0,,,
60,7/14/22,23.3,36,3:00 PM,Ros,UV,None,Y,7.7,,,
61,7/14/22,23.3,36,3:00 PM,Ros,UV,None,Y,8.7,,,
62,7/14/22,23.3,36,3:00 PM,Ros,UV,None,Y,19.2,,,
63,7/14/22,23.3,36,3:00 PM,Ros,None,UV,Y,28.3,,,
64,7/14/22,23.3,36,3:00 PM,Ros,UV,None,N,25.9,,,
65,7/14/22,23.3,36,3:00 PM,Ros,None,UV,N,14.4,,,
66,7/14/22,23.3,36,3:00 PM,Ros,None,UV,Y,18.1,,,
67,7/14/22,23.3,36,3:00 PM,Ros- NA,None,UV,NA,NA,"Loud voices in hallway, 3 minute cutoff",,
68,7/14/22,23.3,36,3:15 PM,Ros,UV,None,N,57.2,,,
69,7/14/22,23.3,36,3:15 PM,Ros-NA,None,UV,NA,NA,3 minute cutoff,,
70,7/18/22,22.8,39,2:00 PM,Ros,None,UV,Y,31.1,,,
71,7/18/22,22.8,39,2:15 PM,Ros,None,UV,Y,11.0,,,
72,7/18/22,22.8,39,2:15 PM,Ros,UV,None,Y,27.6,,,
73,7/18/22,22.8,39,2:15 PM,Ros,UV,None,N,8.9,,,
74,7/18/22,22.8,39,2:15 PM,Ros,None,UV,N,15.0,,,
75,7/18/22,22.8,39,2:15 PM,Ros,None,UV,N,9.7,,,
76,7/18/22,22.8,39,2:15 PM,Ros,None,UV,Y,7.3,,,
77,7/18/22,22.8,39,2:15 PM,Ros,UV,None,Y,12.5,,,
78,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,17.6,,,
79,7/18/22,22.8,39,2:30 PM,Frankie,UV,None,N,6.9,,,
80,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,12.0,,,
81,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,6.8,,,
82,7/18/22,22.8,39,2:30 PM,Frankie,UV,None,Y,11.4,,,
83,7/18/22,22.8,39,2:30 PM,Frankie,UV,None,Y,9.7,,,
84,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,7.9,,,
85,7/18/22,22.8,39,2:30 PM,Frankie,UV,None,N,5.4,,,
86,7/18/22,22.8,39,2:30 PM,Frankie,None,UV,Y,8.3,,,
87,7/18/22,22.8,39,2:45 PM,Frankie,UV,None,N,6.2,,,
88,7/18/22,22.8,39,2:45 PM,Frankie,UV,None,Y,6.8,,,
89,7/18/22,22.8,39,2:45 PM,Frankie,None,UV,Y,7.9,,,
90,7/18/22,22.8,39,2:45 PM,Frankie,None,UV,N,11.0,,,
91,7/18/22,22.8,39,2:45 PM,Frankie,None,UV,Y,9.6,,,
92,7/18/22,22.8,39,2:45 PM,Frankie,UV,None,Y,4.7,,,
93,7/18/22,22.8,39,3:00 PM,Jane,UV,None,N,14.7,,,
94,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,8.1,,,
95,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,3.4,,,
96,7/18/22,22.8,39,3:00 PM,Jane,None,UV,N,6.1,,,
97,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,9.2,,,
98,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,7.0,,,
99,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,6.6,,,
100,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,4.6,,,
101,7/18/22,22.8,39,3:00 PM,Jane,UV,None,Y,3.9,,,
102,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,10.1,,,
103,7/18/22,22.8,39,3:00 PM,Jane,None,UV,Y,6.5,,,
