Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,
1,5/10/22,24.3,18,3:15 PM,Frankie- Train,None,UV,Y,10.8,,,Total Runs/Glider
2,5/10/22,24.3,18,3:15 PM,Frankie- Train,None,UV,N,13.2,,Frankie,45
3,5/10/22,24.3,18,3:15 PM,Frankie- Train,None,UV,N,9.6,,Jane,45
4,5/10/22,24.3,18,3:30 PM,Frankie- Train,UV,None,N,15.8,,Tesla,45
5,5/10/22,24.3,18,3:30 PM,Frankie- Train,UV,None,Y,10.2,,Ros,45
6,5/10/22,24.3,18,3:30 PM,Frankie,UV,None,Y,9.1,,,
7,5/10/22,24.3,18,3:30 PM,Frankie,None,UV,Y,62.0,,,
8,5/10/22,24.3,18,3:30 PM,Frankie,UV,None,Y,13.8,,,
9,5/10/22,24.3,18,3:30 PM,Frankie,None,UV,Y,50.0,"Walkie talkie said ""please change batteries"" in the middle",,
10,5/10/22,24.3,18,3:30 PM,Frankie,UV,None,Y,5.8,,,
11,5/11/22,24.0,21,3:15 PM,Ros-Train,None,UV,Y,13.7,,,
12,5/11/22,24.0,21,3:15 PM,Ros-Train,UV,None,Y,6.8,,,
13,5/11/22,24.0,21,3:30 PM,Ros-Train,UV,None,Y,7.5,,,
14,5/11/22,24.0,21,3:30 PM,Ros-Train,None,UV,Y,6.4,,,
15,5/11/22,24.0,21,3:30 PM,Ros-Train,UV,None,Y,26.8,,,
16,5/11/22,24.0,21,3:30 PM,Ros,UV,None,Y,5.5,,,
17,5/11/22,24.0,21,3:30 PM,Ros,None,UV,Y,6.2,,,
18,5/11/22,24.0,21,3:45 PM,Ros,None,UV,Y,6.6,,,
19,5/11/22,24.0,21,3:45 PM,Ros,None,UV,Y,5.0,,,
20,5/11/22,24.0,21,3:45 PM,Ros,None,UV,Y,6.6,,,
21,5/17/22,24.3,25,3:30 PM,Tesla-Train,UV,None,Y,22.8,,,
22,5/17/22,24.3,25,3:30 PM,Tesla-Train,UV,None,Y,27.8,,,
23,5/17/22,24.3,25,3:30 PM,Tesla-Train,UV,None,Y,7.7,,,
24,5/17/22,24.3,25,3:30 PM,Tesla-Train,UV,None,Y,7.5,,,
25,5/17/22,24.3,25,3:30 PM,Tesla-Train,None,UV,Y,4.7,,,
26,5/17/22,24.3,25,3:30 PM,Tesla,UV,None,Y,7.2,,,
27,5/17/22,24.3,25,3:45 PM,Tesla,None,UV,Y,8.2,,,
28,5/17/22,24.3,25,3:45 PM,Tesla,None,UV,Y,28.8,,,
29,5/17/22,24.3,25,3:45 PM,Tesla,UV,None,Y,15.4,,,
30,5/17/22,24.3,25,3:45 PM,Tesla,None,UV,N,155.4,,,
31,5/18/22,23.8,21,3:30 PM,Jane-Train,None,UV,Y,16.5,,,
32,5/18/22,23.8,21,3:30 PM,Jane-Train,UV,None,Y,15.1,,,
33,5/18/22,23.8,21,3:30 PM,Jane-Train,None,UV,Y,10.6,,,
34,5/18/22,23.8,21,3:30 PM,Jane-Train,None,UV,Y,9.1,,,
35,5/18/22,23.8,21,3:30 PM,Jane-Train,UV,None,Y,12.2,,,
36,5/18/22,23.8,21,3:30 PM,Jane,UV,None,Y,14.3,,,
37,5/18/22,23.8,21,3:45 PM,Jane,UV,None,Y,9.6,,,
38,5/18/22,23.8,21,3:45 PM,Jane,None,UV,Y,8.8,,,
39,5/18/22,23.8,21,3:45 PM,Jane,None,UV,Y,20.0,,,
40,5/18/22,23.8,21,3:45 PM,Jane,UV,None,Y,10.6,,,
41,6/21/22,23.0,36,2:00 PM,Frankie,UV,None,Y,11.9,,,
42,6/21/22,23.0,36,2:00 PM,Frankie,None,UV,N,8.1,,,
43,6/21/22,23.0,36,2:00 PM,Frankie,UV,None,Y,10.2,,,
44,6/21/22,23.0,36,2:00 PM,Frankie,UV,None,Y,4.8,,,
45,6/21/22,23.0,36,2:00 PM,Frankie,UV,None,Y,4.9,,,
46,6/21/22,23.0,36,2:00 PM,Frankie,UV,None,Y,7.2,,,
47,6/21/22,23.0,36,2:00 PM,Frankie,UV,None,Y,5.1,,,
48,6/21/22,23.0,36,2:15 PM,Frankie,None,UV,Y,4.9,,,
49,6/21/22,23.0,36,2:15 PM,Frankie,None,UV,Y,10.2,,,
50,6/21/22,23.0,36,2:15 PM,Frankie,UV,None,N,2.5,,,
51,6/21/22,23.0,36,2:15 PM,Jane,None,UV,Y,12.3,,,
52,6/21/22,23.0,36,2:15 PM,Jane,None,UV,Y,10.2,,,
53,6/21/22,23.0,36,2:15 PM,Jane,UV,None,Y,20.1,,,
54,6/21/22,23.0,36,2:30 PM,Jane,UV,None,Y,10.4,,,
55,6/21/22,23.0,36,2:30 PM,Jane,None,UV,Y,5.3,,,
56,6/21/22,23.0,36,2:30 PM,Jane,UV,None,Y,6.0,,,
57,6/21/22,23.0,36,2:30 PM,Jane,UV,None,Y,9.0,,,
58,6/21/22,23.0,36,2:30 PM,Jane,None,UV,Y,6.5,,,
59,6/21/22,23.0,36,2:30 PM,Jane,None,UV,Y,5.1,,,
60,6/21/22,23.0,36,2:30 PM,Jane,None,UV,Y,6.0,,,
61,6/21/22,23.0,36,2:45 PM,Ros,None,UV,Y,9.0,,,
62,6/21/22,23.0,36,2:45 PM,Ros,None,UV,Y,8.4,,,
63,6/21/22,23.0,36,2:45 PM,Ros,UV,None,Y,51.6,,,
64,6/21/22,23.0,36,2:45 PM,Ros,UV,None,Y,150.4,,,
65,6/21/22,23.0,36,2:45 PM,Ros,None,UV,Y,62.6,,,
66,6/21/22,23.0,36,2:45 PM,Ros,UV,None,Y,55.7,,,
67,6/21/22,23.0,36,2:45 PM,Ros,None,UV,Y,108.9,,,
68,6/21/22,23.0,36,3:00 PM,Ros,UV,None,Y,24.7,,,
69,6/21/22,23.0,36,3:00 PM,Ros,UV,None,Y,29.2,,,
70,6/21/22,23.0,36,3:00 PM,Ros,None,UV,Y,63.7,,,
71,6/21/22,23.0,36,3:15 PM,Tesla,None,UV,N,32.2,,,
72,6/21/22,23.0,36,3:15 PM,Tesla,UV,None,Y,8.6,,,
73,6/21/22,23.0,36,3:15 PM,Tesla,None,UV,Y,56.6,,,
74,6/21/22,23.0,36,3:15 PM,Tesla,UV,None,Y,8.2,,,
75,6/21/22,23.0,36,3:15 PM,Tesla,UV,None,Y,12.6,,,
76,6/21/22,23.0,36,3:15 PM,Tesla,None,UV,Y,10.1,,,
77,6/21/22,23.0,36,3:15 PM,Tesla,UV,None,Y,6.8,,,
78,6/21/22,23.0,36,3:15 PM,Tesla,None,UV,Y,15.0,,,
79,6/21/22,23.0,36,3:15 PM,Tesla,None,UV,Y,51.7,,,
80,6/21/22,23.0,36,3:30 PM,Tesla,UV,None,Y,12.6,,,
81,6/28/22,23.6,26,1:30 PM,Tesla,UV,None,N,175.0,,,
82,6/28/22,23.6,26,1:45 PM,Tesla,UV,None,Y,79.5,,,
83,6/28/22,23.6,26,1:45 PM,Tesla,UV,None,Y,8.3,,,
84,6/28/22,23.6,26,1:45 PM,Tesla,UV,None,Y,6.0,,,
85,6/28/22,23.6,26,1:45 PM,Tesla,UV,None,Y,5.8,,,
