Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,
1,2/23/23,24.4,22,4:05 PM,Ros-NA,Yellow,None,Y,50.05,,,Total Runs/Glider
2,2/23/23,24.4,22,4:06 PM,Ros-NA,None,Yellow,N,15.43,,Frankie,39
3,2/23/23,24.4,22,4:07 PM,Ros-NA,Yellow,None,N,26.72,,Jane,45
4,2/23/23,24.4,22,4:09 PM,Ros-NA,Yellow,None,Y,15.91,,Tesla,45
5,2/23/23,24.4,22,4:10 PM,Ros-NA,None,Yellow,Y,19.73,,Ros,45
6,2/23/23,24.4,22,4:11 PM,Ros-NA,Yellow,None,N,13.89,,,
7,2/23/23,24.4,22,4:11 PM,Ros-NA,Yellow,None,N,5.86,,,
8,2/23/23,24.4,22,4:13 PM,Ros,Yellow,None,Y,7.07,,,
9,2/23/23,24.4,22,4:14 PM,Ros,None,Yellow,Y,10.91,,,
10,2/23/23,24.4,22,4:16 PM,Ros,None,Yellow,N,24.74,,,
11,2/23/23,24.4,22,4:16 PM,Ros,None,Yellow,Y,13.30,,,
12,2/23/23,24.4,22,4:18 PM,Ros,Yellow,None,Y,17.32,,,
13,2/23/23,24.4,22,4:19 PM,Ros,Yellow,None,Y,25.48,,,
14,2/23/23,24.4,22,4:25 PM,Ros,None,Yellow,N,49.59,,,
15,2/23/23,24.4,22,4:28 PM,Ros- NA,Yellow,None,NA,NA,,,
16,2/23/23,24.4,22,4:36 PM,Tesla,Yellow,None,Y,8.14,,,
17,2/23/23,24.4,22,4:36 PM,Tesla,None,Yellow,N,6.27,,,
18,2/23/23,24.4,22,4:37 PM,Tesla,Yellow,None,Y,3.65,,,
19,2/23/23,24.4,22,4:38 PM,Tesla,Yellow,None,Y,5.25,,,
20,2/23/23,24.4,22,4:39 PM,Tesla,None,Yellow,Y,10.01,,,
21,2/23/23,24.4,22,4:40 PM,Tesla,Yellow,None,Y,5.01,,,
22,2/23/23,24.4,22,4:42 PM,Tesla,Yellow,None,Y,8.60,,,
23,2/23/23,24.4,22,4:42 PM,Tesla,Yellow,None,Y,2.93,,,
24,2/23/23,24.4,22,4:43 PM,Tesla,None,Yellow,N,8.25,,,
25,2/23/23,24.4,22,4:44 PM,Tesla,None,Yellow,Y,2.93,,,
26,2/23/23,24.4,22,4:45 PM,Tesla,None,Yellow,Y,10.00,,,
27,2/23/23,24.4,22,4:46 PM,Tesla,Yellow,None,N,11.63,,,
28,2/23/23,24.4,22,4:47 PM,Tesla,Yellow,None,Y,4.49,,,
29,2/23/23,24.4,22,4:48 PM,Tesla,None,Yellow,Y,4.27,,,
30,2/23/23,24.4,22,4:49 PM,Tesla,Yellow,None,Y,9.10,,,
31,2/28/23,24.0,20,3:41 PM,Frankie,Yellow,None,Y,4.87,,,
32,2/28/23,24.0,20,3:42 PM,Frankie,None,Yellow,Y,3.54,,,
33,2/28/23,24.0,20,3:43 PM,Frankie,Yellow,None,Y,4.71,,,
34,2/28/23,24.0,20,3:44 PM,Frankie,Yellow,None,Y,4.12,,,
35,2/28/23,24.0,20,3:44 PM,Frankie,None,Yellow,Y,2.46,,,
36,2/28/23,24.0,20,3:45 PM,Frankie,Yellow,None,Y,3.06,,,
37,2/28/23,24.0,20,3:46 PM,Frankie,Yellow,None,Y,7.49,,,
38,2/28/23,24.0,20,3:46 PM,Frankie,Yellow,None,Y,4.34,,,
39,2/28/23,24.0,20,3:47 PM,Frankie,None,Yellow,Y,3.36,,,
40,2/28/23,24.0,20,3:48 PM,Frankie,None,Yellow,N,6.04,,,
41,2/28/23,24.0,20,3:49 PM,Frankie,None,Yellow,Y,8.54,,,
42,2/28/23,24.0,20,3:49 PM,Frankie,Yellow,None,Y,4.31,,,
43,2/28/23,24.0,20,3:50 PM,Frankie,Yellow,None,Y,4.44,,,
44,2/28/23,24.0,20,3:51 PM,Frankie,None,Yellow,Y,24.22,,,
45,2/28/23,24.0,20,3:53 PM,Frankie,Yellow,None,N,56.76,,,
46,2/28/23,24.0,20,3:59 PM,Jane,Yellow,None,Y,2.04,,,
47,2/28/23,24.0,20,4:00 PM,Jane,None,Yellow,Y,2.60,,,
48,2/28/23,24.0,20,4:00 PM,Jane,Yellow,None,N,2.98,,,
49,2/28/23,24.0,20,4:01 PM,Jane,Yellow,None,Y,5.06,,,
50,2/28/23,24.0,20,4:02 PM,Jane,None,Yellow,Y,2.66,,,
51,2/28/23,24.0,20,4:02 PM,Jane,Yellow,None,N,4.23,,,
52,2/28/23,24.0,20,4:03 PM,Jane,Yellow,None,Y,2.71,,,
53,2/28/23,24.0,20,4:04 PM,Jane,Yellow,None,Y,4.09,,,
54,2/28/23,24.0,20,4:05 PM,Jane,None,Yellow,Y,5.22,,,
55,2/28/23,24.0,20,4:05 PM,Jane,None,Yellow,N,9.11,,,
56,2/28/23,24.0,20,4:06 PM,Jane,None,Yellow,Y,2.66,,,
57,2/28/23,24.0,20,4:07 PM,Jane,Yellow,None,Y,2.68,,,
58,2/28/23,24.0,20,4:07 PM,Jane,Yellow,None,Y,3.09,,,
59,2/28/23,24.0,20,4:09 PM,Jane,None,Yellow,Y,23.36,,,
60,2/28/23,24.0,20,4:09 PM,Jane,Yellow,None,Y,7.12,,,
61,2/28/23,24.0,20,4:18 PM,Tesla,Yellow,None,Y,32.05,,,
62,2/28/23,24.0,20,4:19 PM,Tesla,None,Yellow,Y,3.23,,,
63,2/28/23,24.0,20,4:19 PM,Tesla,None,Yellow,Y,3.33,,,
64,2/28/23,24.0,20,4:20 PM,Tesla,None,Yellow,Y,2.88,,,
65,2/28/23,24.0,20,4:21 PM,Tesla,Yellow,None,Y,3.99,,,
66,2/28/23,24.0,20,4:22 PM,Tesla,None,Yellow,Y,3.08,,,
67,2/28/23,24.0,20,4:22 PM,Tesla,None,Yellow,Y,3.94,,,
68,2/28/23,24.0,20,4:23 PM,Tesla,Yellow,None,Y,2.68,,,
69,2/28/23,24.0,20,4:24 PM,Tesla,None,Yellow,Y,2.64,,,
70,2/28/23,24.0,20,4:25 PM,Tesla,Yellow,None,Y,3.09,,,
71,2/28/23,24.0,20,4:26 PM,Tesla,Yellow,None,N,8.44,,,
72,2/28/23,24.0,20,4:26 PM,Tesla,None,Yellow,Y,5.16,,,
