Day,Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,,,,,,,,,,,,,,,
1,1,5/11/2023,24.8,22,3:21 PM,Ros,B 1/3,Y 2/3,N,27.76,,,,Total Runs/Glider,,,,,,,For Randomization,,,,,,
1,2,5/11/2023,24.8,22,3:23 PM,Ros,B 3/3,Y 2/3,Y,4.20,,,Jane,36,,,,,,,Pair #,,,,,Counts for Double Checking,
1,3,5/11/2023,24.8,22,3:25 PM,Ros,Y 3/3,B 3/3,Y,6.27,,,Tesla,36,,,,,,,1,Y 3/3,B 3/3,,,Y 1/3,36
1,4,5/11/2023,24.8,22,3:27 PM,Ros,B 2/3,Y 1/3,Y,3.19,,,Ros,36,,,,,,,2,Y 3/3,B 2/3,,,Y 2/3,36
1,5,5/11/2023,24.8,22,3:29 PM,Ros,Y 1/3,B 1/3,Y,3.94,,,,,,,,,,,3,Y 3/3,B 1/3,,,Y 3/3,36
1,6,5/11/2023,24.8,22,3:31 PM,Ros,Y 3/3,B 2/3,Y,12.63,,,,,,,,,,,4,Y 2/3,B 3/3,,,B 1/3,36
1,7,5/11/2023,24.8,22,3:34 PM,Ros,Y 2/3,B 2/3,Y,96.36,,,"""3/3""","Highest Brightness, lowest cover ND3",,,,,,,5,Y 2/3,B 2/3,,,B 2/3,36
1,8,5/11/2023,24.8,22,3:37 PM,Ros,B 3/3,Y 1/3,Y,10.01,,,"""2/3""","Mid Brightness, ND6 cover",,,,,,,6,Y 2/3,B 1/3,,,B 3/3,36
1,9,5/11/2023,24.8,22,3:39 PM,Ros,B 1/3,Y 3/3,Y,27.01,,,"""1/3""","Lowest Brightness, highest cover ND9",,,,,,,7,Y 1/3,B 3/3,,,,
1,1,5/11/2023,24.8,22,3:46 PM,Tesla,B 3/3,Y 2/3,Y,11.43,,,,,,,,,,,8,Y 1/3,B 2/3,,,,
1,2,5/11/2023,24.8,22,3:48 PM,Tesla,B 2/3,Y 2/3,Y,8.08,,,,,,,,,,,9,Y 1/3,B 1/3,,,,
1,3,5/11/2023,24.8,22,3:50 PM,Tesla,Y 1/3,B 3/3,Y,2.69,,,,,,,,,,,Day,,,,,,
1,4,5/11/2023,24.8,22,3:51 PM,Tesla,Y 1/3,B 1/3,Y,4.44,,,,,,,,,,,1,6 4 1 8 9 2 5 7 3,,,,,
