Day,Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,,,,,,,,,,,,,,,
2,1,5/12/2023,21,23,4:07 PM,Tesla,G 1/3,Y 1/3,Y,6.99,,,,Total Runs/Glider,,,,,,,For Randomization,,,,,,
2,2,5/12/2023,21,23,4:09 PM,Tesla,Y 2/3,G 2/3,Y,8.68,,,Jane,36,,,,,,,Pair #,,,,,Counts for Double Checking,
2,3,5/12/2023,21,23,4:12 PM,Tesla,Y 3/3,G 3/3,Y,4.05,,,Tesla,36,,,,,,,1,Y 3/3,G 3/3,,,Y 1/3,36
2,4,5/12/2023,21,23,4:13 PM,Tesla,Y 1/3,G 3/3,Y,5.30,,,Ros,36,,,,,,,2,Y 3/3,G 2/3,,,Y 2/3,36
2,5,5/12/2023,21,23,4:15 PM,Tesla,G 1/3,Y 2/3,Y,7.37,,,,,,,,,,,3,Y 3/3,G 1/3,,,Y 3/3,36
2,6,5/12/2023,21,23,4:15 PM,Tesla,G 1/3,Y 3/3,Y,5.37,,,,,,,,,,,4,Y 2/3,G 3/3,,,G 1/3,36
2,7,5/12/2023,21,23,4:17 PM,Tesla,Y 2/3,G 3/3,Y,11.50,,,"""3/3""","Highest Brightness, lowest cover ND3",,,,,,,5,Y 2/3,G 2/3,,,G 2/3,36
2,8,5/12/2023,21,23,4:18 PM,Tesla,G 2/3,Y 3/3,N,8.05,,,"""2/3""","Mid Brightness, ND6 cover",,,,,,,6,Y 2/3,G 1/3,,,G 3/3,36
2,9,5/12/2023,21,23,4:20 PM,Tesla,Y 1/3,G 2/3,Y,3.80,,,"""1/3""","Lowest Brightness, highest cover ND9",,,,,,,7,Y 1/3,G 3/3,,,,
2,1,5/12/2023,21,23,4:27 PM,Jane,Y 3/3,G 3/3,N,6.84,,,,,,,,,,,8,Y 1/3,G 2/3,,,,
2,2,5/12/2023,21,23,4:29 PM,Jane,G 1/3,Y 3/3,N,11.90,,,,,,,,,,,9,Y 1/3,G 1/3,,,,
2,3,5/12/2023,21,23,4:30 PM,Jane,G 2/3,Y 2/3,Y,3.36,,,,,,,,,,,Day,,,,,,
2,4,5/12/2023,21,23,4:32 PM,Jane,Y 3/3,G 2/3,Y,4.32,,,,,,,,,,,2,9 5 1 7 6 3 4 2 8,,,,,
2,5,5/12/2023,21,23,4:33 PM,Jane,Y 1/3,G 3/3,N,3.80,,,,,,,,,,,2,1 3 5 2 7 8 4 9 6,,,,,
2,6,5/12/2023,21,23,4:34 PM,Jane,G 2/3,Y 1/3,N,3.60,,,,,,,,,,,2,2 1 7 9 6 5 3 4 8,,,,,
2,7,5/12/2023,21,23,4:36 PM,Jane,G 3/3,Y 2/3,Y,6.53,,,,,,,,,,,,,,,,,
2,8,5/12/2023,21,23,4:38 PM,Jane,Y 1/3,G 1/3,Y,6.03,,,,,,,,,,,5,2 4 5 9 3 1 8 7 6,,,,,
2,9,5/12/2023,21,23,4:39 PM,Jane,G 1/3,Y 2/3,Y,2.86,,,,,,,,,,,5,1 2 6 3 8 7 5 4 9,,,,,
2,1,5/12/2023,21,23,4:46 PM,Ros,G 2/3,Y 3/3,Y,8.45,,,,,,,,,,,5,9 7 1 6 2 8 4 5 3,,,,,
2,2,5/12/2023,21,23,4:48 PM,Ros,G 3/3,Y 3/3,N,7.52,,,,,,,,,,,,,,,,,
2,3,5/12/2023,21,23,4:49 PM,Ros,G 3/3,Y 1/3,Y,3.97,,,,,,,,,,,8,4 2 9 3 6 1 5 8 7,,,,,
2,4,5/12/2023,21,23,4:51 PM,Ros,Y 1/3,G 1/3,Y,6.55,,,,,,,,,,,8,5 7 8 6 1 9 3 2 4,,,,,
2,5,5/12/2023,21,23,4:52 PM,Ros,Y 2/3,G 1/3,Y,4.50,,,,,,,,,,,8,7 6 8 5 1 4 2 9 3,,,,,
2,6,5/12/2023,21,23,4:54 PM,Ros,G 2/3,Y 2/3,Y,2.78,,,,,,,,,,,,,,,,,
2,7,5/12/2023,21,23,4:55 PM,Ros,Y 3/3,G 1/3,N,3.36,,,,,,,,,,,11,1 4 6 9 3 2 7 5 8,,,,,
2,8,5/12/2023,21,23,4:57 PM,Ros,G 3/3,Y 2/3,Y,3.62,,,,,,,,,,,11,6 7 8 5 3 2 9 4 1,,,,,
2,9,5/12/2023,21,23,4:58 PM,Ros,Y 1/3,G 2/3,Y,3.30,,,,,,,,,,,11,1 4 3 9 6 8 2 5 7,,,,,
5,1,5/17/2023,24.1,19,4:20 PM,Ros,Y 3/3,G 2/3,Y,55.74,,,,,,,,,,,,,,,,,
5,2,5/17/2023,24.1,19,4:23 PM,Ros,Y 2/3,G 3/3,Y,5.95,,,,,,,,,,,,,,,,,
