Day,Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,,,,,,,,,,,,,,,
3,1,5/15/2023,24.4,19,NA,Ros,Y 1/3,Y 2/3,Y,14.37,"Researcher error, forgot to record TOD",,,Total Runs/Glider,,,,,,,For Randomization,,,,,,
3,2,5/15/2023,24.4,19,NA,Ros,Y 2/3,Y 3/3,N,7.26,,,Jane,36,,,,,,,Pair #,,,,,Counts for Double Checking,
3,3,5/15/2023,24.4,19,NA,Ros,Y 1/3,Y 1/3,Y,3.02,,,Tesla,36,,,,,,,1,Y 3/3,Y 3/3,,,Y 1/3,72
3,4,5/15/2023,24.4,19,NA,Ros,Y 3/3,Y 1/3,N,5.13,,,Ros,36,,,,,,,2,Y 3/3,Y 2/3,,,Y 2/3,72
3,5,5/15/2023,24.4,19,NA,Ros,Y 2/3,Y 1/3,N,5.23,,,,,,,,,,,3,Y 3/3,Y 1/3,,,Y 3/3,72
3,6,5/15/2023,24.4,19,NA,Ros,Y 2/3,Y 2/3,Y,3.77,,,,,,,,,,,4,Y 2/3,Y 3/3,,,,
3,7,5/15/2023,24.4,19,NA,Ros,Y 3/3,Y 2/3,Y,3.87,,,,,,,,,,,5,Y 2/3,Y 2/3,,,,
3,8,5/15/2023,24.4,19,NA,Ros,Y 1/3,Y 3/3,N,4.73,,,, rewarded yellow,,,,,,,6,Y 2/3,Y 1/3,,,,
3,9,5/15/2023,24.4,19,NA,Ros,Y 3/3,Y 3/3,N,11.37,,,,,,,,,,,7,Y 1/3,Y 3/3,,,,
3,1,5/15/2023,24.4,19,4:30 PM,Jane,Y 2/3,Y 2/3,Y,8.94,,,,,,,,,,,8,Y 1/3,Y 2/3,,,,
3,2,5/15/2023,24.4,19,NA,Jane,Y 2/3,Y 3/3,Y,7.53,,,,,,,,,,,9,Y 1/3,Y 1/3,,,,
3,3,5/15/2023,24.4,19,NA,Jane,Y 1/3,Y 1/3,N,4.45,,,,,,,,,,,Day,,,,,,
3,4,5/15/2023,24.4,19,NA,Jane,Y 3/3,Y 3/3,N,4.97,,,,,,,,,,,3,8 4 9 3 6 5 2 7 1,,,,,
3,5,5/15/2023,24.4,19,NA,Jane,Y 3/3,Y 1/3,N,3.71,,,,,,,,,,,3,5 4 9 1 3 2 7 6 8,,,,,
3,6,5/15/2023,24.4,19,NA,Jane,Y 3/3,Y 2/3,N,5.68,,,,,,,,,,,3,6 3 2 5 1 7 4 9 8,,,,,
3,7,5/15/2023,24.4,19,NA,Jane,Y 1/3,Y 3/3,Y,4.58,,,,,,,,,,,,,,,,,
3,8,5/15/2023,24.4,19,NA,Jane,Y 2/3,Y 1/3,Y,3.36,,,,,,,,,,,6,9 7 8 4 3 2 6 1 5,,,,,
3,9,5/15/2023,24.4,19,NA,Jane,Y 1/3,Y 2/3,Y,4.82,,,,,,,,,,,6,7 3 5 4 1 8 9 6 2,,,,,
